Tabelle: 12411-001
Bevölkerung: Gemeinden, Stichtage (letzten 6);;
Fortschreibung des Bevölkerungsstandes;;
Bevölkerung (Anzahl);;
;;31.12.2024
09;Bayern;13248928
091;  Oberbayern;4764548
09161;    Ingolstadt (Krfr.St);141185
09162;    München, Landeshauptstadt;1505005
09163;    Rosenheim (Krfr.St);65274
09171;    Altötting (Lkr);113938
09171111;      Altötting, St;13138
09171112;      Burghausen, St;19558
09171113;      Burgkirchen a.d.Alz;11006
09171114;      Emmerting;4274
09171115;      Erlbach;1191
09171116;      Feichten a.d.Alz;1386
09171117;      Garching a.d.Alz;8491
09171118;      Haiming;2567
09171119;      Halsbach;1072
09171121;      Kastl;2804
09171122;      Kirchweidach;2881
09171123;      Marktl, M;2812
09171124;      Mehring;2361
09171125;      Neuötting, St;8991
09171126;      Perach;1326
09171127;      Pleiskirchen;2454
09171129;      Reischach;2718
09171130;      Stammham;972
09171131;      Teising;1713
09171132;      Töging a.Inn, St;9496
09171133;      Tüßling, M;3270
09171134;      Tyrlaching;1080
09171135;      Unterneukirchen;3506
09171137;      Winhöring;4871
09172;    Berchtesgadener Land (Lkr);105292
09172111;      Ainring;9800
09172112;      Anger;4260
09172114;      Bad Reichenhall, GKSt;18288
09172115;      Bayerisch Gmain;3014
09172116;      Berchtesgaden, M;7697
09172117;      Bischofswiesen;7055
09172118;      Freilassing, St;17619
09172122;      Laufen, St;7336
09172124;      Marktschellenberg, M;1721
09172128;      Piding;5284
09172129;      Ramsau b.Berchtesgaden;1683
09172130;      Saaldorf-Surheim;5578
09172131;      Schneizlreuth;1375
09172132;      Schönau a.Königssee;5315
09172134;      Teisendorf, M;9267
09172444;      Gemeindefreie Gebiete;-
09173;    Bad Tölz-Wolfratshausen (Lkr);130248
09173111;      Bad Heilbrunn;3855
09173112;      Bad Tölz, St;19826
09173113;      Benediktbeuern;3679
09173115;      Bichl;2329
09173118;      Dietramszell;5572
09173120;      Egling;5273
09173123;      Eurasburg;4343
09173124;      Gaißach;3203
09173126;      Geretsried, St;25997
09173127;      Greiling;1463
09173130;      Icking;3715
09173131;      Jachenau;828
09173133;      Kochel a.See;4095
09173134;      Königsdorf;3148
09173135;      Lenggries;10147
09173137;      Münsing;4373
09173140;      Reichersbeuern;2384
09173141;      Sachsenkam;1333
09173142;      Schlehdorf;1327
09173145;      Wackersberg;3700
09173147;      Wolfratshausen, St;19658
09173444;      Gemeindefreie Gebiete;-
09174;    Dachau (Lkr);153595
09174111;      Altomünster, M;7818
09174113;      Bergkirchen;7630
09174115;      Dachau, GKSt;47138
09174118;      Erdweg;6206
09174121;      Haimhausen;5615
09174122;      Hebertshausen;5894
09174126;      Karlsfeld;21403
09174131;      Markt Indersdorf, M;10283
09174135;      Odelzhausen;5671
09174136;      Petershausen;6353
09174137;      Pfaffenhofen a.d.Glonn;2328
09174141;      Röhrmoos;6449
09174143;      Schwabhausen;6311
09174146;      Sulzemoos;2859
09174147;      Hilgertshausen-Tandern;3342
09174150;      Vierkirchen;4654
09174151;      Weichs;3641
09175;    Ebersberg (Lkr);144225
09175111;      Anzing;4388
09175112;      Aßling;4545
09175113;      Baiern;1488
09175114;      Bruck;1326
09175115;      Ebersberg, St;12408
09175116;      Egmating;2286
09175118;      Forstinning;3737
09175119;      Frauenneuharting;1543
09175121;      Glonn, M;5085
09175122;      Grafing b.München, St;13942
09175123;      Hohenlinden;3339
09175124;      Kirchseeon, M;10342
09175127;      Markt Schwaben, M;13643
09175128;      Moosach;1418
09175131;      Oberpframmern;2467
09175132;      Vaterstetten;24981
09175133;      Pliening;5910
09175135;      Poing;16585
09175136;      Emmering;1446
09175137;      Steinhöring;3894
09175139;      Zorneding;9452
09175444;      Gemeindefreie Gebiete;-
09176;    Eichstätt (Lkr);135668
09176111;      Adelschlag;3016
09176112;      Altmannstein, M;7150
09176114;      Beilngries, St;10218
09176116;      Böhmfeld;1698
09176118;      Buxheim;3778
09176120;      Denkendorf;5036
09176121;      Dollnstein, M;2878
09176122;      Egweil;1250
09176123;      Eichstätt, GKSt;13891
09176124;      Eitensheim;2999
09176126;      Gaimersheim, M;12468
09176129;      Großmehring;7576
09176131;      Hepberg;3020
09176132;      Hitzhofen;3017
09176137;      Kinding, M;2549
09176138;      Kipfenberg, M;5767
09176139;      Kösching, M;9788
09176143;      Lenting;4895
09176147;      Mindelstetten;1823
09176148;      Mörnsheim, M;1569
09176149;      Nassenfels, M;2348
09176150;      Oberdolling;1360
09176153;      Pförring, M;4150
09176155;      Pollenfeld;3056
09176160;      Schernfeld;3291
09176161;      Stammham;4142
09176164;      Titting, M;2718
09176165;      Walting;2317
09176166;      Wellheim, M;2716
09176167;      Wettstetten;5184
09176444;      Gemeindefreie Gebiete;-
09177;    Erding (Lkr);140127
09177112;      Berglern;2945
09177113;      Bockhorn;4031
09177114;      Buch a.Buchrain;1653
09177115;      Dorfen, St;14759
09177116;      Eitting;3057
09177117;      Erding, GKSt;37171
09177118;      Finsing;4740
09177119;      Forstern;3683
09177120;      Fraunberg;3914
09177121;      Hohenpolding;1654
09177122;      Inning a.Holz;1562
09177123;      Isen, M;5619
09177124;      Kirchberg;1170
09177126;      Langenpreising;2887
09177127;      Lengdorf;2742
09177130;      Moosinning;6083
09177131;      Neuching;2789
09177133;      Oberding;6251
09177134;      Ottenhofen;1953
09177135;      Pastetten;2818
09177137;      Sankt Wolfgang;4557
09177138;      Steinkirchen;1349
09177139;      Taufkirchen (Vils);10652
09177142;      Walpertskirchen;2140
09177143;      Wartenberg, M;5539
09177144;      Wörth;4409
09178;    Freising (Lkr);184564
09178113;      Allershausen;5980
09178115;      Attenkirchen;2760
09178116;      Au i.d.Hallertau, M;6290
09178120;      Eching;14627
09178122;      Rudelzhausen;3508
09178123;      Fahrenzhausen;5064
09178124;      Freising, GKSt;48928
09178125;      Gammelsdorf;1599
09178129;      Haag a.d.Amper;2716
09178130;      Hallbergmoos;11959
09178132;      Hörgertshausen;1989
09178133;      Hohenkammer;2697
09178136;      Kirchdorf a.d.Amper;3344
09178137;      Kranzberg;4304
09178138;      Langenbach;4068
09178140;      Marzling;3287
09178142;      Mauern;3125
09178143;      Moosburg a.d.Isar, St;20012
09178144;      Nandlstadt, M;5635
09178145;      Neufahrn b.Freising;21061
09178150;      Paunzhausen;1605
09178155;      Wang;2475
09178156;      Wolfersdorf;2575
09178157;      Zolling;4956
09179;    Fürstenfeldbruck (Lkr);218227
09179111;      Adelshofen;1893
09179113;      Alling;4105
09179114;      Althegnenberg;2056
09179117;      Egenhofen;3443
09179118;      Eichenau;11540
09179119;      Emmering;6899
09179121;      Fürstenfeldbruck, GKSt;37420
09179123;      Germering, GKSt;40916
09179125;      Grafrath;3885
09179126;      Gröbenzell;19362
09179128;      Hattenhofen;1559
09179130;      Jesenwang;1668
09179131;      Kottgeisering;1599
09179132;      Landsberied;1566
09179134;      Maisach;13974
09179136;      Mammendorf;5066
09179137;      Mittelstetten;1683
09179138;      Moorenweis;4122
09179140;      Oberschweinbach;1741
09179142;      Olching, St;27310
09179145;      Puchheim, St;20858
09179147;      Schöngeising;1943
09179149;      Türkenfeld;3619
09180;    Garmisch-Partenkirchen (Lkr);89296
09180112;      Bad Kohlgrub;2875
09180113;      Bad Bayersoien;1278
09180114;      Eschenlohe;1556
09180115;      Ettal;681
09180116;      Farchant;3571
09180117;      Garmisch-Partenkirchen, M;28305
09180118;      Grainau;3564
09180119;      Großweil;1631
09180122;      Krün;1985
09180123;      Mittenwald, M;7323
09180124;      Murnau a.Staffelsee, M;11994
09180125;      Oberammergau;5132
09180126;      Oberau;3132
09180127;      Ohlstadt;3323
09180128;      Riegsee;1252
09180129;      Saulgrub;1612
09180131;      Schwaigen;611
09180132;      Seehausen a.Staffelsee;2422
09180133;      Spatzenhausen;737
09180134;      Uffing a.Staffelsee;3069
09180135;      Unterammergau;1727
09180136;      Wallgau;1516
09180444;      Gemeindefreie Gebiete;-
09181;    Landsberg am Lech (Lkr);122107
09181111;      Apfeldorf;1208
09181113;      Denklingen;2881
09181114;      Dießen am Ammersee, M;10673
09181115;      Eching am Ammersee;1620
09181116;      Egling a.d.Paar;2444
09181118;      Eresing;2066
09181120;      Finning;1920
09181121;      Fuchstal;4151
09181122;      Geltendorf;5817
09181123;      Greifenberg;2187
09181124;      Hofstetten;1850
09181126;      Hurlach;1947
09181127;      Igling;2531
09181128;      Kaufering, M;9957
09181129;      Kinsau;1055
09181130;      Landsberg am Lech, GKSt;29257
09181131;      Obermeitingen;1756
09181132;      Penzing;4321
09181133;      Vilgertshofen;2788
